booking_id,months_as_member,hours_before,day_of_week,part_of_day,category,attended,day_of_month
1,17,19,Mon,AM,Gym,0,3
2,20,47,Thu,AM,Class,1,13
3,15,48,Sun,AM,Class,1,9
4,12,52,Tue,PM,-,1,4
5,9,42,Tue,PM,Gym,1,11
6,18,54,Wed,PM,Class,1,5
7,6,20,Sun,AM,Gym,1,16
8,27,9,Sun,AM,Class,1,16
9,14,47,Fri,AM,Gym,1,14
10,16,43,Wednesday,PM,Class,1,5
11,7,23,Fri,AM,Gym,0,14
12,5,4,Fri.,AM,Gym,1,14
13,7,28,Sun,AM,Gym,1,16
14,15,48,Sun,AM,Gym,1,9
15,22,41,Sat,AM,Gym,1,15
16,12,4,Wed,PM,-,1,12
17,22,9,Fri,AM,Gym,1,7
18,8,55,Fri,AM,Class,1,14
19,10,5,Fri,AM,Gym,0,7
20,4,10,Tue,AM,Gym,1,4
21,21,37,Mon,AM,Gym,1,3
22,20,18,Sat,AM,Class,1,8
23,11,17,Sun,PM,Class,1,16
24,15,44,Mon,AM,Gym,1,10
25,6,55,Tue,AM,Class,1,4
26,15,19,Fri,AM,Gym,1,14
27,7,1,Mon,AM,Gym,1,3
28,8,38,Tue,AM,Gym,1,11
29,22,7,Thu,AM,Gym,1,13
30,19,54,Sun,AM,Gym,1,16
31,12,56,Mon,AM,Gym,1,3
32,6,11,Thu,PM,Class,1,6
33,7,27,Fri,AM,Gym,1,14
34,11,2,Mon,AM,Gym,1,10
35,10,18,Wed,PM,Class,1,5
36,11,17,Fri,AM,Gym,1,14
37,38,12,Fri.,AM,Gym,1,14
38,3,5,Sun,AM,Gym,1,9
39,65,49,Thu,PM,Gym,1,13
40,58,23,Tue,PM,Gym,1,11
41,22,1,Fri,AM,Gym,1,21
42,5,1,Fri,AM,Class,1,21
43,33,1,Fri,AM,Class,1,21
44,9,1,Mon,AM,Gym,0,17
45,13,1,Mon,AM,Gym,1,17
46,17,1,Mon,AM,Class,1,17
47,6,1,Mon,PM,Gym,1,17
48,6,1,Sat,AM,Gym,0,22
49,14,1,Sat,PM,Gym,1,22
50,19,1,Sun,AM,Gym,1,23
51,14,1,Thu,AM,Gym,1,20
52,36,1,Thu,AM,Class,0,20
53,26,1,Thu,AM,Gym,1,20
54,9,1,Thu,AM,Class,1,20
55,13,1,Thu,AM,Class,1,20
56,4,1,Thu,AM,Gym,1,20
57,13,1,Tue,AM,Class,0,18
58,4,1,Tue,PM,Class,1,18
59,13,1,Tue,PM,Class,0,18
60,15,1,Tue,PM,Gym,1,18
61,3,1,Wed,PM,Gym,0,19
62,13,1,Wed,PM,Gym,1,19
63,11,1,Fri,AM,Gym,1,21
64,28,1,Fri,AM,Gym,1,21
65,4,1,Fri,AM,Gym,1,21
66,11,1,Mon,AM,Gym,1,17
67,21,1,Mon,AM,Gym,1,17
68,3,1,Mon,AM,Class,0,17
69,9,10,Thu,PM,Class,1,6
